Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Norfolk,Police Force Area,20,"2,075","2,493",8.02,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,North Wales,Police Force Area,6,"1,527","1,543",3.89,0%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,North Yorkshire,Police Force Area,9,"1,671","1,844",4.88,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Northamptonshire,Police Force Area,39,"1,090","6,064",6.43,4%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Northumbria,Police Force Area,2,"2,857","3,068",0.65,0%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Nottinghamshire,Police Force Area,87,"1,449","17,340",5.02,6%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,South Wales,Police Force Area,58,"5,868","6,244",9.29,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,South Yorkshire,Police Force Area,20,"1,529","8,294",2.41,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Staffordshire,Police Force Area,65,"2,601","6,464",10.06,2%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Suffolk,Police Force Area,22,"1,175","4,733",4.65,2%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Surrey,Police Force Area,57,"4,561","4,920",11.59,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Sussex,Police Force Area,58,"4,898","7,015",8.27,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Thames Valley,Police Force Area,196,"5,466","17,961",10.91,4%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Warwickshire,Police Force Area,45,"1,725","3,090",14.56,3%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,West Mercia,Police Force Area,59,"4,239","5,745",10.27,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,West Midlands,Police Force Area,466,"11,316","53,234",8.75,4%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,West Yorkshire,Police Force Area,83,"6,321","20,827",3.99,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,Wiltshire,Police Force Area,11,940,"3,474",3.17,1%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,All - excluding BTP,Police Force Area,"4,279","243,475","426,715",10.03,2%,
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Black Caribbean,ONS 2001 16+1,All - including BTP,Police Force Area,"4,326","245,635","426,715",10.14,2%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Avon & Somerset,Police Force Area,53,"9,050","8,045",6.59,1%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Bedfordshire,Police Force Area,337,"4,279","33,065",10.19,8%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Cambridgeshire,Police Force Area,296,"8,582","14,451",20.48,3%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Cheshire,Police Force Area,19,"6,390","2,415",7.87,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Cleveland,Police Force Area,169,"11,453","10,469",16.14,1%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Cumbria,Police Force Area,16,"8,071",316,50.63,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Derbyshire,Police Force Area,211,"8,368","15,599",13.53,3%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Devon & Cornwall,Police Force Area,7,"24,411",668,10.48,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Dorset,Police Force Area,9,"6,543",460,19.57,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Durham,Police Force Area,15,"8,302",608,24.67,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Dyfed-Powys,Police Force Area,8,"8,384",318,25.16,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Essex,Police Force Area,53,"9,604","5,055",10.48,1%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Gloucestershire,Police Force Area,13,"4,837",942,13.8,0%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Greater Manchester,Police Force Area,"2,706","45,408","130,012",20.81,6%,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,Gwent,Police Force Area,83,"5,627","3,407",24.36,1%,
